id,ru_nameg,enres_ids,themes_ids,years_ids,orig_name,description
0,"Тетрадь смерти","0 1 2 3","0 1","0","Death Note","Жить человеку или не жить определяют боги смерти, рано или поздно внося его имя в особую тетрадь. Одна из таких тетрадей попадает в мир людей на территорию современной Японии. А что случится, если тетрадь бога Death Note окажется в руках человека? Ответ очевиден: он возомнит себя богом. Это и происходит с Ягами Лайтом - среднестатистическим, но не совсем обычным старшеклассником, мечтающим построить утопию на трупах преступников.«Тетрадь Смерти» обрела невероятную популярность в начале века онлайн, сделав историю противостояния Киры и гениального детектива L классикой детективного жанра и просто культовым аниме."
1,"Атака титанов","4 5 6 7 2","2 3 1","1 2 3","Shingeki no Kyojin","Загнанное в угол человечество доживает свои последние дни под гнётом титанов - таинственных созданий, терроризирующих человеческую расу. Выжившие ютятся за стенами крупного поселения с собственным правительством, представляющим последний оплот централизованной власти в мире. Там же живёт и юноша по имени Эрен, проводя детство в относительной безопасности, пока не происходит событие из ряда вон: титаны прорываются в город, уничтожая всё на своём пути. После вторжения гигантов Эрен становится сиротой и клянётся уничтожить всех до единого титанов. На пути к своей цели он и его друзья вступают в отряд разведки, занимающийся вылазками за стену. Герой ещё не знает, сколько загадок в себе таит внешний мир.Экранизация манги о приключениях Эрена и его товарищей Shingeki no Kyojin «взорвала» мировое аниме-сообщество в 2013 году и привлекла к себе множество поклонников японской анимации.обзор Атака титанов."
2,"Мастера меча онлайн","4 5 8 9 7","4","4 3","Sword Art Online","Представление о видеоиграх в корне изменилось с введением технологии Полного Погружения, повышающей уровень восприятия происходящего в игре до максимального и полностью перекрывающей связь с реальным миром. Данная технология применяется для создания революционной в жанре VRMMORPG игры под названием «Мастера Меча Онлайн», которая соответствует всем стандартам многопользовательских ролевых игр с одной лишь разницей в том, что игрок ощущает себя своим персонажем. Ажиотаж вокруг игры растёт столь стремительно, что на старте к серверу подключается великое множество человек. Но тут и открывается страшная тайна, скрывавшаяся за многообещающим проектом: выйти из игры невозможно, а при разрыве соединения путём избавления от шлема виртуальной реальности игрок умрёт. Единственным способом спастись создатель игры, придумавший столь хитроумную ловушку, называет полное прохождение своей VRMMORPG. В числе оказавшихся в западне виртуального пространства оказываются Кирито и Асуна, которым предстоит покорить цифровой мир и пройти испытание чувствами.В 2012 году «Sword Art Online» вызвали глубокий интерес у поклонников аниме по всему миру, в связи с этим проект получил перспективы к развитию и радует своих поклонников по сей день.обзор Мастера меча онлайн."
3,"Стальной алхимик: Братство -","4 5 6 9","2 5 1","5","Brotherhood","В альтернативном мире, где технология уживается рядом с распространённым таинством алхимии, два брата Эдвард и Альфонс мечтают о возвращении своей погибшей матери. Прибегая к алхимии, дети терпят неудачу и забывают о беззаботной жизни: Эдвард теряет руку и ногу, в то время как Альфонс лишается всего тела - его дух оказывается заключён в доспехах. Это и есть Fullmetal Alchemist. Несколько лет братья странствуют в поисках легендарного философского камня, надеясь исправить страшную ошибку и вернуть утраченное. На пути к цели их ждут встречи с верными товарищами и невероятно сильными врагами, а главное - разгадка тайны давным-давно пропавшего отца…Ремейк первой менее известной экранизации манги «Стальной Алхимик» полюбился многим за превосходное качество визуализации, захватывающий сюжет, обширный и продуманный мир, запоминающихся персонажей и великолепную музыку. «Стальной Алхимик: Братство» - это аниме, относящееся к разряду «пересмотреть обязательно»."
4,"Ванпанчмен","5 10 11 9","6 3","6 7","One Punch Man","Каково живётся самому сильному человеку в мире? Не так уж и классно, как может показаться на первый взгляд. Когда ты всего достиг, научившись выносить злодеев буквально с одного удара, жизнь теряет краски, пропадает сам интерес к жизни, ведь не к чему стремиться. С подобным внутренним кризисом сталкивается Сайтама - самый сильный человек на планете, погрязший в рутине и потерявший радость от побед над монстрами и преступниками. Его знакомство с киборгом Геносом открывает Сайтаме новый мир супергероев - друзья записываются в супергеройскую ассоциацию, чтобы от имени правосудия бороться со злом, однако сильнейшему в мире всё так же скучно…«One-Punch Man» побил все рекорды популярности в 2015 году, на полноправной основе став главным хитом года и заслужив признание поклонников аниме по всему миру за счёт головокружительной проработки боевых сцен и, разумеется, хорошего юмора."
5,"Токийский Гуль","5 6 9 2","7","8 6 3","Tokyo Ghoul","Япония, альтернативная реальность. В этом мире параллельно с людьми существует раса гулей - созданий, стоящих выше людей в пищевой цепи, то есть людоедов. Тем не менее, людям удаётся сосуществовать с ними в относительном мире, однако стычки время от времени случаются. Под такую раздачу попадает обычный школьник Канеки, который становится жертвой могущественной женщины-гуля. Чудом пережив нападение, Канеки узнаёт, что взамен утраченных человеческих органов ему пересадили органы гуля. Кто же он теперь - человек или гуль? Ему предстоит пройти долгий путь самоопределения и найти своё место в мире.Экранизация сделала мангу «Токийский Гуль» ещё более популярной, аниме стало хитом 2014 года, взорвав Интернет и заслужив интерес к приключениям юноши-полугуля огромной публики.обзор Токийский Гуль."
6,"Моя геройская академия","4 5 9","1 3 8","9 2 3 7","Boku no Hero Academia","В мире «Boku no Hero Academia» каждый желающий может стать супергероем, ведь люди сразу рождаются с необычной силой, называемой Причуда. Каждый, кроме Мидории - паренька, мечтающего стать супергероем, возможно, больше многих других, но по несчастливой случайности родившегося без Причуды. И, как обычно это бывает в аниме, всё снова решает случай: самый известный и сильный супергерой в мире по прозвищу Всемогущий берётся тренировать Мидорию, после чего отдаёт ему часть своей силы, чтобы он осуществил свою мечту - поступил в академию супергероев.На волне популярности «Ванпанчмена» и супергеройских фильмов «Моя Геройская Академия» пришлась по вкусу многим за счёт красочного исполнения и зрелищных битв, ну и, само собой, персонажей - неутомимых героев… точнее, супергероев современности!"
7,"Врата Штейна","6 9 2 3","9","10 3","Steins;Gate","Время - это не игрушка. И это правило касается как детей, так и взрослых. Японский студент Окабе Ринтаро, сторонник теорий заговоров и любитель газировки, не сразу понимает, что натворил, когда открывает способ перемещения сознания во времени. Попав в замкнутую череду событий Врат Штейна, он пытается выбраться из временной петли и спасти дорогих ему людей.Экранизация игры Steins;Gate по праву считается эталоном научной фантастики. Пусть история Окарина местами и комична, она наполнена болью и страданиями, а также любовью, задевающей за самые тонкие струнки души."
8,"Нет игры - нет жизни","4 10 7","4","8","No Game No Life","Это ещё одна история о путешествии обычного японского подростка-игромана в виртуальный фэнтези-мир, наполненный яркими красками, красивыми девушками и не то опасностями, не то странностями. Только на этот раз с главным героем в виртуальную реальность попадает его младшая сестра, не уступающая брату в навыках видеоигр."
9,"Ангельские ритмы!","10 8 6 0","8","11","Angel Beats!","Если вы никогда не плакали над аниме-сериалами, самое время ознакомиться с «Angel Beats!» - невероятно трогательной историей школьника Юзуру, преждевременно оказавшегося в Чистилище. Там парень встречает сверстников, которые пытаются раскрыть тайну этого загадочного места и вернуться в свой мир. Как это бывает, вскоре их представление о мире и друг о друге кардинально меняются, что приводит к… и тысячи строк великого и могучего не хватит, чтобы описать эпилог, тем более «Ангельские Ритмы!» смотрятся на одном дыхании - с подобной классикой, смешивающей в себе несколько жанров, грех не ознакомиться как заядлому зрителю, так и только что открывшим для себя аниме."
10,"Код Гиас","5 6 9 2 3","2 3 10 8","0 12","Code Geass","Антиутопия. Британская Империя колонизировала немало стран, в числе которых оказалась Япония. Жители оккупированной Японии не желают мириться с диктатурой и поднимают восстание, в центре которого оказывается ученик местной Академии Лелуш Ламперуж, повелевающего разумом людей. Взяв псевдоним «Зеро», Лелуш становится лидером сопротивления и ведёт сепаратистов к победе, при этом имея личные счёты с Империей, ведь император - его собственный отец.«Код Гиас» R1 и R2 сочетает в себе множество жанров и держит планку классики меха и научной фантастики, уже долгие годы."
11,"Хантер х Хантер","4 5 6 7 2","1 3","10","Hunter x Hunter","Профессия Охотника опасна и трудна, а перечень поручений крайне широк - от убийства чудовищ до поисков клада. Тем не менее, многие авантюристы пускаются во все тяжкие в погоне за мечтой стать прославленным Охотником. Об этом задумывается и совсем ещё юный Гон, отец которого не только избежал смерти, но вдобавок ещё и стал величайшим Охотником в мире ""Хантер х Хантер"". В поисках отца Гон сам вступает в ряды Охотников и отправляется в долгое путешествие, сулящее ему встречи как с новыми друзьями, так и со страшными противниками.Манга и оригинальный сериал «Hunter x Hunter» являются признанной классикой аниме, а недавний ремейк способствует привлечению внимания молодого поколения к истории Гона, доказывая, что она не забыта.обзор Хантер х Хантер."
12,"Дневник будущего","5 6 9 2 3","1","10","Mirai Nikki","Юкитеру Амано или просто Юки - клишейный школьник, внезапно втянутый в затеянную самим Богом игру, победитель в которой займёт его место. Все участники получают по мобильному телефону с особенной для каждого функцией, после чего начинается самая настоящая гонка на выживание. Не дать себя убить - лишь первая проблема Юки; влюблённая в него Юно Гасай, ещё одна участница игры, готова расчленить любого, кто косо посмотрит на парня её мечты. Амано предстоит разобраться, желает ли он вообще силы Бога и как быть с влюблённой в него милой, но абсолютно сумасшедшей Юно.Спустя много лет после выхода в 2011 году «Дневник будущего» любят и охотно вспоминают как вобравшее в себя лучшее из множества других аниме-сериалов зрелище, приковывающее внимание к экрану и не отпускающее до самого конца."
13,"ТораДора","10 11 8","8","12","Toradora!","Внешность бывает обманчива, об этом не понаслышке знает Рюдзи - старшеклассник, которого из-за его грозного вида другие ученики обходят стороной. Он быстро становится школьной знаменитостью, жизнь вроде бы налаживается, однако его мечту о романтической юности разрушает бунтарка Тайга - другая школьная знаменитость и единственный человек, способный дерзить Рюдзи. Им предстоит через многое пройти, чтобы разобраться в своих чувствах друг к другу.История «Toradora!» о соперничестве «Тигра» и «Дракона» причислена к классике романтических комедий о школьной жизни обычных японских подростков."
14,"Бездомный Бог","4 10 6 7","1","8 6","Noragami","Восток - дело тонкое, особенно если дело касается богов. Многообразие японского пантеона на руку далеко не всем, среди местных богов процветает конкуренция за место в умах людей, ведь те, о ком люди совсем позабудут, исчезают. Одному из таких древних мелких божков по имени Ято исчезать совсем неохота, поэтому он устраивается «богом по вызову» и выполняет просьбы людей, попутно охотясь на призраков. Встреченная им девушка Хиёри и новый напарник-дух Юкине становятся бездомному богу Noragami настоящими друзьями и помогают ему осуществить самую заветную мечту - построить свой храм, не подозревая, какое тёмное прошлое, полное боли и горестей, скрывается за беззаботностью Ято.Аниме-сериал «Бездомный Бог» получил немало одобрительных оценок за трогательный сюжет и прекрасное качество прорисовки, но в большинстве своём отзывы идут от женской части зрителей, восхваляющих пронзительные голубые глаза, в которые невозможно не влюбиться."
15,"С нуля: Пособие по выживанию в альтернативном мире","4 6 7 2 3","9","9 13","Zero kara Hajimeru Isekai Seikatsu","Обычный старшеклассник Нацуки Субару много времени проводит за онлайн-играми и он считает свою жизнь очень скучной. Однажды ночью парень отправился в магазин за покупками, и с ним приключилось нечто необъяснимое. Выйдя из магазина, юноша в мгновение ока оказался в другом измерении. Нацуки сразу понял, что какая-то неизвестная сила перенесла его в параллельный мир, и это ничуть не испугало старшеклассника. В первый же час пребывания в неизвестном месте парнишка умудрился вляпаться в неприятности. В тёмном переулке на Нацуки напали грабители, которые хотели его не только ограбить, но и убить. Вначале Субару подумал, что у него есть суперсила и уникальные способности, но он ошибся. Спасла бедолагу воинственная девушка с серебряными волосами, которая обладает магическими способностями. После знакомства ребята отправились на поиски грабителя, но во время расследования они попали в зловещую ловушку. Сумасшедшая воровка напала на друзей и парень вместе с девчонкой умер, но через секунду юноша оказался в том же месте, что и в начале дня словно время пошло вспять. Неизвестная сила оживила парня и вернула в исходную точку. Такой поворот событий не на шутку испугал юношу.Опасные приключения, кровопролитные схватки, а также загадочные события ждут героя аниме ""Re: Zero kara Hajimeru Isekai Seikatsu"". Субару придётся разобраться с мистическим воскрешением, а также попытаться спасти девчонку с серебряными волосами."
16,"Синий Экзорцист","4 5 10 6 7","11 1","10 2","Ao no Exorcist","Долгое время Окумура Рин жил жизнью обычного человека, пока не обнаружил в себе невероятную силу. Оказалось, что он - полукровка и один из сыновей Дьявола, живущий в мире людей. У владыки демонов на наследника свои планы, но Рин, будучи наполовину человеком и прожив с людьми много лет, не желает становиться пешкой в руках Сатаны и вместе с братом Юкио поступает в особую школу демоноборцев, зовущих себя экзорцистами, выбирая сторону людей в грядущей войне.История молодого экзорциста стала хитом 2011 года - замечательный визуальный стиль, музыкальное сопровождение и яркие герои не оставят поклонников сёненов равнодушными."
